Compound_ID,Status,Simulated_Center_ppm,Simulated_Multiplicity,Predicted_Center_ppm,Predicted_Multiplicity,Position_Error_ppm
451,Missed,1.2557033333333332,Triplet,,,
451,Missed,3.7341499999999996,Quartet,,,
451,Missed,4.721705,Doublet,,,
451,Missed,7.023553333333333,Multiplet,,,
451,Missed,7.237585,Quartet,,,
451,Missed,8.45463,Singlet,,,
452,Matched,1.15723,Singlet,1.149905,Doublet,0.007325000000000026
452,Matched,2.40357625,Multiplet,2.399915,Doublet,0.0036612499999999493
452,Missed,0.815434,Singlet,,,
452,Missed,0.8606,Doublet,,,
452,Missed,1.0026088333333334,Multiplet,,,
452,Missed,1.2353575,Multiplet,,,
452,Missed,1.3655650000000001,Multiplet,,,
452,Missed,1.611201111111111,Multiplet,,,
452,Missed,1.7822370000000003,Multiplet,,,
452,Missed,2.0629975000000003,Multiplet,,,
452,Missed,2.28883,Quartet,,,
452,Missed,3.6364924999999997,Quartet,,,
452,Missed,4.6566,Triplet,,,
452,Missed,5.72024,Singlet,,,
452,Missed,7.2668833333333325,Multiplet,,,
452,Spurious,,,1.06934,Singlet,
453,Missed,6.79691,Singlet,,,
453,Missed,7.30228,Singlet,,,
454,Missed,0.9692435,Doublet,,,
454,Missed,1.20118,Singlet,,,
454,Missed,1.4087,Singlet,,,
454,Missed,1.91529,Doublet,,,
454,Missed,3.98928,Singlet,,,
454,Missed,4.91946,Singlet,,,
454,Missed,5.0342,Singlet,,,
455,Matched,1.14991,Singlet,1.1150764,Multiplet,0.03483360000000002
455,Matched,2.3632925,Quartet,2.40968,Singlet,0.046387499999999804
455,Missed,1.1108449999999999,Doublet,,,
455,Missed,2.286385,Doublet,,,
455,Missed,2.7758933333333338,Triplet,,,
455,Missed,5.423437142857142,Multiplet,,,
455,Missed,6.0775033333333335,Triplet,,,
455,Spurious,,,0.900273,Quartet,
456,Matched,3.6712825000000002,Quartet,3.64992,Doublet,0.021362500000000395
456,Missed,3.0520775,Multiplet,,,
456,Missed,3.18605,Doublet,,,
456,Missed,3.2714999999999996,Quartet,,,
456,Missed,3.364275,Doublet,,,
456,Missed,3.50197,Multiplet,,,
456,Missed,3.596616666666666,Multiplet,,,
456,Missed,3.8843,Singlet,,,
456,Missed,3.931295,Quartet,,,
456,Missed,4.107685,Doublet,,,
456,Missed,4.414085,Doublet,,,
456,Missed,4.521996,Multiplet,,,
456,Missed,4.6313725,Quartet,,,
456,Missed,4.917015,Doublet,,,
456,Missed,7.042275,Doublet,,,
456,Missed,7.286415,Doublet,,,
456,Missed,7.50492,Singlet,,,
456,Missed,7.9260649999999995,Doublet,,,
457,Matched,2.08009,Singlet,2.12403,Singlet,0.043939999999999646
457,Missed,1.77003,Triplet,,,
457,Missed,2.393078,Multiplet,,,
457,Missed,2.5431433333333335,Triplet,,,
457,Missed,2.9589999999999996,Triplet,,,
457,Missed,3.9192933333333335,Triplet,,,
457,Missed,4.311543333333334,Triplet,,,
457,Missed,7.036865714285715,Multiplet,,,
457,Missed,7.135045,Doublet,,,
457,Missed,7.201575000000001,Quartet,,,
457,Spurious,,,2.28761,Singlet,
457,Spurious,,,2.329115,Doublet,
457,Spurious,,,2.408053333333333,Triplet,
